chi,n_dead,precision,safe_recall,sum_delta_loss
0.2,121,0.9421487603305785,0.41007194244604317,0.8938255459070206
0.22,122,0.9426229508196722,0.4136690647482014,0.9096089899539948
0.24,122,0.9426229508196722,0.4136690647482014,0.9096089899539948
0.26,122,0.9426229508196722,0.4136690647482014,0.9096089899539948
0.28,123,0.943089430894309,0.4172661870503597,0.9102194160223007
0.3,123,0.943089430894309,0.4172661870503597,0.9102194160223007
0.32,124,0.9435483870967742,0.420863309352518,0.9221983999013901
0.34,127,0.9448818897637795,0.4316546762589928,0.9306726902723312
0.36,130,0.9461538461538461,0.44244604316546765,0.9446458369493484
0.38,131,0.9465648854961832,0.4460431654676259,0.9421897828578949
0.4,132,0.946969696969697,0.44964028776978415,0.9517996907234192
0.42,134,0.9477611940298507,0.4568345323741007,0.955217644572258
0.44,135,0.9481481481481482,0.460431654676259,0.9559876173734665
0.46,137,0.948905109489051,0.4676258992805755,0.9677621573209763
0.48,138,0.9492753623188406,0.4712230215827338,0.9717386811971664
0.5,138,0.9492753623188406,0.4712230215827338,0.9717386811971664
0.52,140,0.95,0.4784172661870504,0.978281557559967
0.54,142,0.9507042253521126,0.4856115107913669,0.9820804595947266
0.56,142,0.9507042253521126,0.4856115107913669,0.9820804595947266
0.58,142,0.9507042253521126,0.4856115107913669,0.9820804595947266
0.6,143,0.951048951048951,0.4892086330935252,0.9814501106739044
0.62,144,0.9513888888888888,0.49280575539568344,0.975403219461441
0.64,145,0.9517241379310345,0.49640287769784175,0.973340630531311
0.66,146,0.952054794520548,0.5,0.9668205082416534
0.68,146,0.952054794520548,0.5,0.9668205082416534
0.7,147,0.9523809523809523,0.5035971223021583,0.9827021509408951
0.72,148,0.9527027027027027,0.5071942446043165,0.9829497635364532
0.74,149,0.9530201342281879,0.5107913669064749,0.9894640445709229
0.76,149,0.9530201342281879,0.5107913669064749,0.9894640445709229
0.78,149,0.9530201342281879,0.5107913669064749,0.9894640445709229
0.8,149,0.9530201342281879,0.5107913669064749,0.9894640445709229
0.82,150,0.9533333333333334,0.5143884892086331,0.9918140172958374
0.84,152,0.9539473684210527,0.5215827338129496,1.0034694522619247
0.86,153,0.954248366013072,0.5251798561151079,1.0083558112382889
0.88,155,0.9548387096774194,0.5323741007194245,1.0068801939487457
0.9,156,0.9551282051282052,0.5359712230215827,1.0057747662067413
0.92,157,0.9554140127388535,0.539568345323741,1.0133168995380402
0.94,161,0.9565217391304348,0.5539568345323741,1.0293008387088776
0.96,162,0.9567901234567902,0.5575539568345323,1.0344923585653305
0.98,163,0.9570552147239264,0.5611510791366906,1.0426082611083984
1.0,164,0.9573170731707317,0.564748201438849,1.045820876955986
1.02,164,0.9573170731707317,0.564748201438849,1.045820876955986
1.04,168,0.9583333333333334,0.579136690647482,1.0630207806825638
1.06,168,0.9583333333333334,0.579136690647482,1.0630207806825638
1.08,168,0.9583333333333334,0.579136690647482,1.0630207806825638
1.1,172,0.9593023255813954,0.5935251798561151,1.065691500902176
1.12,172,0.9593023255813954,0.5935251798561151,1.065691500902176
1.14,174,0.9597701149425287,0.6007194244604317,1.0665917992591858
1.16,174,0.9597701149425287,0.6007194244604317,1.0665917992591858
1.18,175,0.96,0.60431654676259,1.0665540844202042
1.2,178,0.9606741573033708,0.6151079136690647,1.0955217629671097
1.22,182,0.9615384615384616,0.6294964028776978,1.086154967546463
1.24,183,0.9617486338797814,0.6330935251798561,1.0987842828035355
1.26,183,0.9617486338797814,0.6330935251798561,1.0987842828035355
1.28,186,0.9623655913978495,0.6438848920863309,1.1287128031253815
1.3,189,0.9629629629629629,0.6546762589928058,1.1378727555274963
1.32,189,0.9629629629629629,0.6546762589928058,1.1378727555274963
1.34,190,0.9631578947368421,0.658273381294964,1.1406101733446121
1.36,191,0.9633507853403142,0.6618705035971223,1.13917376101017
1.38,192,0.9635416666666666,0.6654676258992805,1.1409980356693268
1.4,193,0.9637305699481865,0.6690647482014388,1.1622176766395569
1.42,193,0.9637305699481865,0.6690647482014388,1.1622176766395569
1.44,195,0.9641025641025641,0.6762589928057554,1.1782871931791306
1.46,195,0.9641025641025641,0.6762589928057554,1.1782871931791306
1.48,195,0.9641025641025641,0.6762589928057554,1.1782871931791306
1.5,196,0.9642857142857143,0.6798561151079137,1.1868937611579895
1.52,197,0.9644670050761421,0.6834532374100719,1.2039906680583954
1.54,198,0.9646464646464646,0.6870503597122302,1.1999198943376541
1.56,198,0.9646464646464646,0.6870503597122302,1.1999198943376541
1.58,199,0.964824120603015,0.6906474820143885,1.2027094811201096
1.6,200,0.965,0.6942446043165468,1.2111300081014633
1.62,200,0.965,0.6942446043165468,1.2111300081014633
1.64,200,0.965,0.6942446043165468,1.2111300081014633
1.66,201,0.9651741293532339,0.697841726618705,1.2107978463172913
1.68,201,0.9651741293532339,0.697841726618705,1.2107978463172913
1.7,203,0.9655172413793104,0.7050359712230215,1.2219389826059341
1.72,204,0.9656862745098039,0.7086330935251799,1.2402292490005493
1.74,204,0.9656862745098039,0.7086330935251799,1.2402292490005493
1.76,206,0.9660194174757282,0.7158273381294964,1.2612329125404358
1.78,207,0.966183574879227,0.7194244604316546,1.2659739702939987
1.8,207,0.966183574879227,0.7194244604316546,1.2659739702939987
1.82,208,0.9663461538461539,0.7230215827338129,1.2709026038646698
1.84,208,0.9663461538461539,0.7230215827338129,1.2709026038646698
1.86,209,0.9665071770334929,0.7266187050359713,1.2726615816354752
1.88,211,0.966824644549763,0.7338129496402878,1.2721347957849503
1.9,213,0.9671361502347418,0.7410071942446043,1.2791529893875122
1.92,214,0.9672897196261683,0.7446043165467626,1.2800065279006958
1.94,216,0.9675925925925926,0.7517985611510791,1.2959496825933456
1.96,217,0.967741935483871,0.7553956834532374,1.300898239016533
1.98,218,0.9678899082568807,0.7589928057553957,1.301682323217392
2.0,218,0.9678899082568807,0.7589928057553957,1.301682323217392
2.02,218,0.9678899082568807,0.7589928057553957,1.301682323217392
2.04,219,0.9680365296803652,0.762589928057554,1.3014091104269028
2.06,220,0.9681818181818181,0.7661870503597122,1.306984543800354
2.08,221,0.9683257918552036,0.7697841726618705,1.3059505820274353
2.1,224,0.96875,0.7805755395683454,1.2974944710731506
2.12,224,0.96875,0.7805755395683454,1.2974944710731506
2.14,225,0.9644444444444444,0.7805755395683454,1.384969100356102
2.16,226,0.9646017699115044,0.7841726618705036,1.3965973258018494
2.18,226,0.9646017699115044,0.7841726618705036,1.3965973258018494
2.2,227,0.9647577092511013,0.7877697841726619,1.4011310338974
2.22,227,0.9647577092511013,0.7877697841726619,1.4011310338974
2.24,227,0.9647577092511013,0.7877697841726619,1.4011310338974
2.26,228,0.9649122807017544,0.7913669064748201,1.4044880867004395
2.28,228,0.9649122807017544,0.7913669064748201,1.4044880867004395
2.3,228,0.9649122807017544,0.7913669064748201,1.4044880867004395
2.32,228,0.9649122807017544,0.7913669064748201,1.4044880867004395
2.34,230,0.9652173913043478,0.7985611510791367,1.4210140109062195
2.36,231,0.9653679653679653,0.802158273381295,1.420970931649208
2.38,232,0.9655172413793104,0.8057553956834532,1.4238307476043701
2.4,232,0.9655172413793104,0.8057553956834532,1.4238307476043701
2.42,232,0.9655172413793104,0.8057553956834532,1.4238307476043701
2.44,232,0.9655172413793104,0.8057553956834532,1.4238307476043701
2.46,232,0.9655172413793104,0.8057553956834532,1.4238307476043701
2.48,232,0.9655172413793104,0.8057553956834532,1.4238307476043701
2.5,232,0.9655172413793104,0.8057553956834532,1.4238307476043701
2.52,234,0.9658119658119658,0.8129496402877698,1.4236605167388916
2.54,235,0.9659574468085106,0.8165467625899281,1.4394203424453735
2.56,235,0.9659574468085106,0.8165467625899281,1.4394203424453735
2.58,236,0.9661016949152542,0.8201438848920863,1.444014236330986
2.6,237,0.9662447257383966,0.8237410071942446,1.444077342748642
2.62,239,0.9665271966527197,0.8309352517985612,1.4672065675258636
2.64,240,0.9666666666666667,0.8345323741007195,1.4658312052488327
2.66,240,0.9666666666666667,0.8345323741007195,1.4658312052488327
2.68,241,0.9626556016597511,0.8345323741007195,1.517066240310669
2.7,243,0.9629629629629629,0.841726618705036,1.5276733338832855
2.72,243,0.9629629629629629,0.841726618705036,1.5276733338832855
2.74,243,0.9629629629629629,0.841726618705036,1.5276733338832855
2.76,244,0.9631147540983607,0.8453237410071942,1.5275529772043228
2.78,244,0.9631147540983607,0.8453237410071942,1.5275529772043228
2.8,245,0.963265306122449,0.8489208633093526,1.5494691878557205
2.82,245,0.963265306122449,0.8489208633093526,1.5494691878557205
2.84,245,0.963265306122449,0.8489208633093526,1.5494691878557205
2.86,245,0.963265306122449,0.8489208633093526,1.5494691878557205
2.88,245,0.963265306122449,0.8489208633093526,1.5494691878557205
2.9,245,0.963265306122449,0.8489208633093526,1.5494691878557205
2.92,246,0.9634146341463414,0.8525179856115108,1.5659462958574295
2.94,246,0.9634146341463414,0.8525179856115108,1.5659462958574295
2.96,246,0.9634146341463414,0.8525179856115108,1.5659462958574295
2.98,246,0.9634146341463414,0.8525179856115108,1.5659462958574295
3.0,246,0.9634146341463414,0.8525179856115108,1.5659462958574295
3.02,247,0.9635627530364372,0.8561151079136691,1.5718849450349808
3.04,247,0.9635627530364372,0.8561151079136691,1.5718849450349808
3.06,247,0.9635627530364372,0.8561151079136691,1.5718849450349808
3.08,247,0.9635627530364372,0.8561151079136691,1.5718849450349808
3.1,247,0.9635627530364372,0.8561151079136691,1.5718849450349808
3.12,247,0.9635627530364372,0.8561151079136691,1.5718849450349808
3.14,248,0.9596774193548387,0.8561151079136691,1.6045123040676117
3.16,249,0.9598393574297188,0.8597122302158273,1.608782097697258
3.18,249,0.9598393574297188,0.8597122302158273,1.608782097697258
3.2,249,0.9598393574297188,0.8597122302158273,1.608782097697258
3.22,249,0.9598393574297188,0.8597122302158273,1.608782097697258
3.24,250,0.96,0.8633093525179856,1.6277359277009964
3.26,250,0.96,0.8633093525179856,1.6277359277009964
3.28,250,0.96,0.8633093525179856,1.6277359277009964
3.3,251,0.9601593625498008,0.8669064748201439,1.6311940997838974
3.32,251,0.9601593625498008,0.8669064748201439,1.6311940997838974
3.34,251,0.9601593625498008,0.8669064748201439,1.6311940997838974
3.36,251,0.9601593625498008,0.8669064748201439,1.6311940997838974
3.38,252,0.9603174603174603,0.8705035971223022,1.638032004237175
3.4,252,0.9603174603174603,0.8705035971223022,1.638032004237175
3.42,253,0.9604743083003953,0.8741007194244604,1.6361485719680786
3.44,254,0.9606299212598425,0.8776978417266187,1.6479879468679428
3.46,254,0.9606299212598425,0.8776978417266187,1.6479879468679428
3.48,254,0.9606299212598425,0.8776978417266187,1.6479879468679428
3.5,254,0.9606299212598425,0.8776978417266187,1.6479879468679428
3.52,255,0.9607843137254902,0.8812949640287769,1.6471777111291885
3.54,255,0.9607843137254902,0.8812949640287769,1.6471777111291885
3.56,255,0.9607843137254902,0.8812949640287769,1.6471777111291885
3.58,255,0.9607843137254902,0.8812949640287769,1.6471777111291885
3.6,255,0.9607843137254902,0.8812949640287769,1.6471777111291885
3.62,255,0.9607843137254902,0.8812949640287769,1.6471777111291885
3.64,255,0.9607843137254902,0.8812949640287769,1.6471777111291885
3.66,255,0.9607843137254902,0.8812949640287769,1.6471777111291885
3.68,255,0.9607843137254902,0.8812949640287769,1.6471777111291885
3.7,255,0.9607843137254902,0.8812949640287769,1.6471777111291885
3.72,255,0.9607843137254902,0.8812949640287769,1.6471777111291885
3.74,255,0.9607843137254902,0.8812949640287769,1.6471777111291885
3.76,255,0.9607843137254902,0.8812949640287769,1.6471777111291885
3.78,256,0.9609375,0.8848920863309353,1.6570265740156174
3.8,256,0.9609375,0.8848920863309353,1.6570265740156174
3.82,257,0.9610894941634242,0.8884892086330936,1.6581793874502182
3.84,257,0.9610894941634242,0.8884892086330936,1.6581793874502182
3.86,257,0.9610894941634242,0.8884892086330936,1.6581793874502182
3.88,257,0.9610894941634242,0.8884892086330936,1.6581793874502182
3.9,257,0.9610894941634242,0.8884892086330936,1.6581793874502182
3.92,258,0.9612403100775194,0.8920863309352518,1.667838215827942
3.94,258,0.9612403100775194,0.8920863309352518,1.667838215827942
3.96,259,0.9613899613899614,0.89568345323741,1.6769991368055344
3.98,259,0.9613899613899614,0.89568345323741,1.6769991368055344
4.0,259,0.9613899613899614,0.89568345323741,1.6769991368055344
