k,groups,ppl,delta_nll,delta_nll_frac,secs,ram_avail_mb
0,,7.1783,0.0,0.0,,
1,L3g0,7.2951,0.016140303676239816,0.008188630736054994,57.2,11327
2,L3g0 L3g2,7.5394,0.049080017032995485,0.024900283418714406,58.9,11315
