Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.3,4641382,96,48347.7,48303.0,32991,67552,15241.2,"void mul_mat_vec_q<(ggml_type)13, (int)2, (bool)0, (bool)0, (bool)0>(const void *, const void *, const int *, ggml_cuda_mm_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
0.3,4162481,236,17637.6,17664.0,16256,19584,715.3,"void mul_mat_q_stream_k_fixup<(ggml_type)12, (int)128, (bool)0>(const int *, const int *, float *, float *, uint3, int, int, int, uint3, int, uint3, int, uint3)"
0.3,3844884,288,13350.3,3072.0,2272,101024,26720.0,"void cpy_scalar<&cpy_1_scalar<float, float>>(const char *, char *, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long)"
0.3,3763897,42,89616.6,113567.5,12320,114784,43622.6,"void mul_mat_vec_q<(ggml_type)14, (int)2, (bool)0, (bool)0, (bool)0>(const void *, const void *, const int *, ggml_cuda_mm_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
0.2,3489041,21,166144.8,208191.0,27807,215039,79044.0,"void mul_mat_q<(ggml_type)14, (int)32, (bool)0>(const char *, const int *, const int *, const int *, float *, float *, const float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)"
0.2,3477300,48,72443.8,67968.0,44480,96960,23371.3,"void mul_mat_vec_q<(ggml_type)13, (int)4, (bool)0, (bool)0, (bool)0>(const void *, const void *, const int *, ggml_cuda_mm_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
0.2,2646708,21,126033.7,163519.0,15072,164127,63117.5,"void mul_mat_vec_q<(ggml_type)14, (int)4, (bool)0, (bool)0, (bool)0>(const void *, const void *, const int *, ggml_cuda_mm_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
0.2,2190231,48,45629.8,45663.5,31135,60160,14367.2,"void mul_mat_vec_q<(ggml_type)13, (int)1, (bool)0, (bool)0, (bool)0>(const void *, const void *, const int *, ggml_cuda_mm_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
0.2,2185367,192,11382.1,11136.0,10816,13152,686.5,"void mul_mat_q_stream_k_fixup<(ggml_type)8, (int)128, (bool)1>(const int *, const int *, float *, float *, uint3, int, int, int, uint3, int, uint3, int, uint3)"
0.2,2131676,72,29606.6,2608.0,1344,65088,31461.6,"void unary_gated_op_kernel<&op_sigmoid, float>(const T2 *, const T2 *, T2 *, long, long, long, long)"
0.1,1897528,16,118595.5,118527.5,117728,119456,446.0,"void mul_mat_vec_q<(ggml_type)14, (int)1, (bool)1, (bool)0, (bool)0>(const void *, const void *, const int *, ggml_cuda_mm_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
0.1,1749973,216,8101.7,7488.0,4351,11200,2380.2,"void k_get_rows_float_vec<float>(const T1 *, const int *, T1 *, long, long, uint3, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)"
0.1,1715007,964,1779.1,1696.0,1408,2720,298.3,"quantize_q8_1(const float *, void *, long, long, long, long, long, unsigned int, uint3)"
0.1,1705530,144,11844.0,2592.0,1536,44544,14079.0,"void rope_multi<(bool)1, (bool)0, float>(const T3 *, T3 *, int, int, int, int, int, int, int, int, int, int, int, const int *, float, float, float, rope_corr_dims, float, const float *, mrope_sections, bool, bool)"
0.1,1699293,96,17701.0,17599.5,16768,19584,632.8,"void mul_mat_q_stream_k_fixup<(ggml_type)13, (int)128, (bool)0>(const int *, const int *, float *, float *, uint3, int, int, int, uint3, int, uint3, int, uint3)"
0.1,1498327,84,17837.2,17872.0,16192,19616,785.1,"void mul_mat_q_stream_k_fixup<(ggml_type)14, (int)128, (bool)0>(const int *, const int *, float *, float *, uint3, int, int, int, uint3, int, uint3, int, uint3)"
0.1,1270875,43,29555.2,31648.0,8544,52064,14537.5,"void mul_mat_vec_q<(ggml_type)12, (int)1, (bool)0, (bool)0, (bool)0>(const void *, const void *, const int *, ggml_cuda_mm_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
0.1,873756,144,6067.8,1952.0,1504,13632,4903.0,"void k_set_rows<float, long, __half>(const T1 *, const T2 *, T3 *, long, long, long, long, long, long, long, long, long, long, long, long, long, long, uint3, uint3, uint3, uint3, uint3)"
0.0,560000,131,4274.8,4288.0,3680,4832,211.5,"void mul_mat_q_stream_k_fixup<(ggml_type)12, (int)32, (bool)0>(const int *, const int *, float *, float *, uint3, int, int, int, uint3, int, uint3, int, uint3)"
0.0,498079,220,2264.0,2272.0,1760,2720,250.1,"void k_get_rows_float<float, float>(const T1 *, const int *, T2 *, long, long, uint3, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)"
0.0,454622,48,9471.3,9440.0,9248,9600,86.9,"void mul_mat_q_stream_k_fixup<(ggml_type)8, (int)32, (bool)1>(const int *, const int *, float *, float *, uint3, int, int, int, uint3, int, uint3, int, uint3)"
0.0,446205,120,3718.4,2848.0,2240,7808,1893.7,"void ssm_conv_f32<(bool)1, (unsigned long)128, (unsigned long)4>(const float *, const float *, const float *, int, int, int, int, float *, int, int, int, long)"
0.0,430270,24,17927.9,10864.0,9088,32927,10496.3,"void flash_attn_ext_f16<(int)256, (int)256, (int)2, (int)4, (bool)0, (bool)0, (bool)0>(const char *, const char *, const char *, const char *, const char *, const int *, float *, float2 *, float, float, float, float, unsigned int, float, int, uint3, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long)"
0.0,354075,48,7376.6,6784.0,6528,8320,788.5,"void mul_mat_q<(ggml_type)8, (int)32, (bool)1>(const char *, const int *, const int *, const int *, float *, float *, const float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)"
0.0,336541,96,3505.6,3488.0,3264,3808,143.9,"void mul_mat_vec_q<(ggml_type)8, (int)2, (bool)0, (bool)0, (bool)0>(const void *, const void *, const int *, ggml_cuda_mm_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
0.0,319807,192,1665.7,1600.0,1440,1920,140.5,"void k_bin_bcast<&op_mul, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
0.0,298431,8,37303.9,37344.0,36448,37888,456.8,"void flash_attn_ext_f16<(int)256, (int)256, (int)4, (int)4, (bool)0, (bool)0, (bool)0>(const char *, const char *, const char *, const char *, const char *, const int *, float *, float2 *, float, float, float, float, unsigned int, float, int, uint3, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long)"
0.0,268607,216,1243.6,1216.0,992,1568,128.1,"void unary_op_kernel<&op_sigmoid, float>(const T2 *, T2 *, int)"
0.0,219743,192,1144.5,1120.0,992,1344,79.4,"void unary_op_kernel<&op_softplus, float>(const T2 *, T2 *, int)"
0.0,212702,48,4431.3,4432.0,4224,4736,138.0,"void mul_mat_q_stream_k_fixup<(ggml_type)13, (int)32, (bool)0>(const int *, const int *, float *, float *, uint3, int, int, int, uint3, int, uint3, int, uint3)"
0.0,180159,48,3753.3,3744.0,3488,4064,156.6,"void mul_mat_vec_q<(ggml_type)8, (int)4, (bool)0, (bool)0, (bool)0>(const void *, const void *, const int *, ggml_cuda_mm_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
0.0,111200,48,2316.7,2304.0,2208,2624,100.1,"void mul_mat_vec_q<(ggml_type)8, (int)1, (bool)0, (bool)0, (bool)0>(const void *, const void *, const int *, ggml_cuda_mm_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
0.0,88000,21,4190.5,4256.0,3712,4352,166.4,"void mul_mat_q_stream_k_fixup<(ggml_type)14, (int)32, (bool)0>(const int *, const int *, float *, float *, uint3, int, int, int, uint3, int, uint3, int, uint3)"
0.0,73856,8,9232.0,9232.0,9024,9440,124.5,"void flash_attn_stream_k_fixup_general<(int)256, (int)8, (int)4>(float *, const float2 *, int, int, int, int, uint3, uint3, uint3, uint3)"
0.0,68736,24,2864.0,2864.0,2656,2944,57.4,"void concat_cont<unsigned int, (int)0>(const T1 *, const T1 *, T1 *, long, long, long, long, long, long)"
0.0,51360,24,2140.0,1952.0,1888,2624,322.0,"void flash_attn_stream_k_fixup_uniform<(int)256, (int)2, (int)4>(float *, const float2 *, int, int, int, int, int, int, uint3, uint3, uint3)"
0.0,35392,24,1474.7,1472.0,1440,1504,24.8,"void unary_gated_op_kernel<&op_softplus, float>(const T2 *, const T2 *, T2 *, long, long, long, long)"
0.0,23264,8,2908.0,2912.0,2816,2944,39.9,"void flash_attn_stream_k_fixup_uniform<(int)256, (int)4, (int)4>(float *, const float2 *, int, int, int, int, int, int, uint3, uint3, uint3)"
